      t = 0.010000
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
       251       1000.211      0.5284635      0.6582713   8.624043e-06     -0.0976077   0.0008284284      -9.809828
       252       999.9703      0.5357897      0.6646612   8.223851e-06     -0.0976025   0.0007957964      -9.809332
       253       999.8042      0.5423322      0.6732113   1.088763e-08    -0.09760941   3.643373e-06      -9.809993
       254       999.8042      0.5466876      0.6821942  -4.898864e-08    -0.09760967  -8.339468e-06      -9.810041
       255       999.8042      0.5489234      0.6921381   4.538249e-11     -0.0976095              0          -9.81
       256       1000.034      0.5500858      0.7025419   1.913132e-06    -0.09762068   0.0001879984      -9.811096
       257       1000.128      0.5484538      0.7120922  -1.501689e-06    -0.09759935  -0.0001426209      -9.809018
       258       999.8984      0.5447402      0.7211292    1.51894e-06    -0.09760544   9.897404e-05      -9.809426
       259       999.9177      0.5394388      0.7299149   1.118329e-05    -0.09759706   0.0009105546      -9.808385
       260       999.8042      0.5326186      0.7373474              0     -0.0976095              0          -9.81
       261       1000.406      0.5238656      0.7436266   0.0001015374    -0.09764797    0.009700959      -9.813675
       262       1000.406      0.5149176      0.7470167  -0.0001014729    -0.09757106   -0.009700959      -9.806325
       263        1002.37      0.5046685      0.7490027    0.001926518    -0.09767282      0.1629485      -9.816334
       264       1002.711      0.4953816      0.7492519   -0.001892264    -0.09782316     -0.1568984      -9.829082
       265       999.8042      0.4847818      0.7473165  -6.721178e-09     -0.0976095              0          -9.81
       266       999.8819      0.4753349      0.7434268  -6.138544e-06    -0.09761464  -0.0006058667      -9.810507
       267       999.8819      0.4678314      0.7371474   6.130263e-06    -0.09760437   0.0006058667      -9.809493
       268        999.807      0.4607612      0.7297648   1.235499e-06    -0.09761015   0.0001272142      -9.810066
       269       1001.452      0.4553596      0.7210319  -4.338988e-05    -0.09707897   -0.004086105      -9.761901
       270       1000.878      0.4516953      0.7122899   -0.000171154    -0.09803257    -0.01628259      -9.848594
       271       999.8042      0.4501642       0.701742   6.514817e-10    -0.09760952              0          -9.81
       272       1001.744      0.4507251      0.6915436  -0.0002952848    -0.09655452    -0.02605057      -9.716112
       273       1001.838      0.4532642      0.6825391   0.0003451245    -0.09859105     0.03029813      -9.894991
       274       1000.066       0.457268      0.6735113    4.16115e-05     -0.0976106    0.004128645      -9.810627
       275       1000.407      0.4634111      0.6652116   0.0001448674    -0.09752781     0.01398037      -9.802445
       276       999.8042      0.4711366      0.6581213              0     -0.0976095              0          -9.81
       277       999.8042      0.4802822      0.6537116              0     -0.0976095              0          -9.81
       278       999.8042      0.4898351       0.650583              0     -0.0976095              0          -9.81
       279       1000.523        0.50035      0.6593104  -2.980771e-07     -0.0974333  -0.0001165026      -9.793269
       280       999.8154      0.5103976      0.6603162   3.228742e-06    -0.09760822   0.0003190067      -9.809872
       281       999.8154      0.5195701      0.6640072  -3.192816e-06    -0.09761079  -0.0003190067      -9.810128
       282       1000.168      0.5276318      0.6704006   -1.94783e-05    -0.09763461   -0.001885538      -9.812431
       283       1000.168      0.5335232      0.6780266   1.945761e-05    -0.09758431    0.001887113      -9.807557
       284       1001.901      0.5382412      0.6875425  -0.0002021973    -0.09882613    -0.01773539      -9.916711
       285       1001.901      0.5397721      0.6967542   0.0002021963    -0.09639286     0.01774009      -9.703255
       286       1001.658      0.5394436      0.7074493   0.0004094091    -0.09867364     0.03730261      -9.906547
       287       1002.192      0.5360918      0.7161946  -0.0002410315    -0.09685277    -0.02030635      -9.745271
       288       1000.452      0.5313196      0.7245079  -0.0001830598    -0.09731496    -0.01805238      -9.780261
       289       1004.397      0.5230293      0.7315176    0.003338762     -0.0980783      0.2585573      -9.838774
       290       1003.034      0.5151093      0.7362601   -0.002939987    -0.09578668     -0.2324853      -9.659584
       291       999.8042      0.5053633      0.7387441  -8.565808e-07    -0.09760931              0          -9.81
       292       1001.187      0.4946895      0.7388948   0.0005529573    -0.09747692     0.05065596      -9.797835
       293       1001.194      0.4855222      0.7366999   -0.000553025    -0.09773535    -0.05040311      -9.821452
       294       999.8083      0.4767386      0.7319202  -1.287368e-06    -0.09761072  -0.0001338719      -9.810124
       295       999.8111      0.4695295      0.7251065   8.695066e-08    -0.09760757   5.909886e-06      -9.809809
